日文,中文,假名
紅葉,红叶,もみじ
故郷,故乡,こきょう
通り,大街,とおり
町,城市，街道,まち
所,场所,ところ
お店,书店,おみせ
人形,玩偶,にんぎょう
作品,作品,さくひん
彫刻,雕刻,ちょうこく
自動車,汽车,じどうしゃ
道具,工具,どうぐ
魚,鱼,さかな
お菓子,点心,おかし
物,物品,もの
シーズン,季节
修学旅行,修学旅行,しゅうがくりょこう
観光客,游客,かんこうきゃく
作家,作家,さっか
部長,部长,ぶちょう
平日,平日,へいじつ
日,日子,ひ
生活,生活,せいかつ
世界,世界,せかい
晴れ,晴天,はれ
雨,雨,あめ
曇り,阴天,くもり
雪,雪,ゆき
汚い,脏,きたない
綺麗,漂亮,きれい
有名,有名,ゆうめい
賑やか,热闹,にぎやか
静か,安静,しずか
暇,空闲,ひま
親切,热情,しんせつ
好き,喜欢,すき
嫌い,讨厌,きらい
便利,方便,べんり
不便,不方便,ふべん
元気,健康,げんき
簡単,简单,かんたん
ハンサム,英俊
どんな,什么样的
どう,怎样
いかが,如何
いろいろ,各种各样
でも,可是
そして,而且
ところで,转移话题
奈良,奈良,なら
富士山,富士山,ふじさん
もう少し,再一点,もうすこし
中,中,じゅう
